Knowledge_Unit_ID,Name,Default_Tier1_Hours,Alternative_Tier1_Hours,Default_Tier2_Hours,Alternative_Tier2_Hours,Default_Electives,Alternative_Electives,Distributed,
,PBD/Web Platforms,0,0,0,0,1,1,1,
,PD/Cloud Computing,0,0,0,0,1,1,0,This is an elective
,PD/Communication and Coordination,1,1,3,1,1,1,1,
,PD/Distributed Systems,0,0,0,0,1,1,1,This is an elective and is correct
,PD/Formal Models and Semantics,0,0,0,0,1,0,0,
,"PD/Parallel Algorithms, Analysis, and Programming",0,0,3,0,1,0,0,
,PD/Parallel Architecture,1,0.5,1,0,1,1,1,
,PD/Parallel Decomposition,1,0.5,3,0,0,0,1,
,PD/Parallel Performance,0,0,0,0,1,0,0,
,PD/Parallelism Fundamentals,2,1,0,0,0,0,1,
,PL/Advanced Programming Constructs,0,0,0,0,1,0,0,
,PL/Basic Type Systems,1,0.5,4,2,0,0,1,
,PL/Code Generation,0,0,0,0,1,0,0,
,PL/Compiler Semantic Analysis,0,0,0,0,1,0,0,
,PL/Concurrency and Parallelism,0,0,0,0,1,1,1,
,PL/Event-Driven and Reactive Programming,0,0,2,0,0,0,0,
,PL/Formal Semantics,0,0,0,0,1,0,0,
,PL/Functional Programming,3,1,4,0,0,0,1,
,PL/Language Pragmatics,0,0,0,0,1,0,0,
,PL/Language Translation and Execution,0,0,3,1,0,0,1,
,PL/Logic Programming,0,0,0,0,1,0,0,
,PL/Object-Oriented Programming,4,1,6,3,0,0,1,
,PL/Program Representation,0,0,1,0,0,0,0,
,PL/Runtime Systems,0,0,0,0,1,1,1,
,PL/Static Analysis,0,0,0,0,1,1,1,
,PL/Syntax Analysis,0,0,0,0,1,0,0,
,PL/Type Systems,0,0,0,0,1,1,1,
,SDF/Algorithms and Design,11,0,0,0,0,0,0,
,SDF/Development Methods,10,8,0,0,0,0,1,
,SDF/Fundamental Data Structures,12,0,0,0,0,0,0,
,SDF/Fundamental Programming Concepts,10,1,0,0,0,0,1,
,SE/Formal Methods,0,0,0,0,1,0,0,
,SE/Requirements Engineering,1,0,3,0,1,0,0,
,SE/Software Construction,0,0,2,2,1,1,1,
,SE/Software Design,3,0,5,0,1,0,0,
,SE/Software Evolution,0,0,2,1.5,1,0,1,
,SE/Software Processes,2,1,1,0,1,0,1,"This one is correct. The distributed hours do not cover elective topics, but it does cover the Tier 1 Hours"
,SE/Software Project Management,0,0,2,1,1,1,1,
,SE/Software Reliability,0,0,1,1,1,0,1,This one is also correct. The fact that it said tier 1 is to be assumed as an error.
,SE/Software Verification and Validation,0,0,4,1,1,1,1,
,SE/Tools and Environments,0,0,2,1,0,0,1,
,SF/Computational Paradigms,3,0,0,0,0,0,0,
,SF/Cross-Layer Communications,3,3,0,0,0,0,1,
,SF/Evaluation,3,0,0,0,0,0,0,
,SF/Parallelism,3,1,0,0,0,0,1,
,SF/Proximity,0,0,3,0,0,0,0,
,SF/Quantitative Evaluation,0,0,0,0,1,0,0,
,SF/Reliability through Redundancy,0,0,2,2,0,0,1,
,SF/Resource Allocation and Scheduling,0,0,2,0.5,0,0,1,This one is also correct. The fact that it said tier 1 is to be assumed as an error.
,SF/State and State Machines,6,0,0,0,0,0,0,
,SF/Virtualization and Isolation,0,0,2,1,0,0,1,
,SP/Analytical Tools,2,1,0,0,0,0,1,
,SP/Economies of Computing,0,0,0,0,1,0,0,
,SP/History,0,0,0,0,1,0,0,
,SP/Intellectual Property,2,2,0,0,1,1,1,
,SP/Privacy and Civil Liberties,2,0.5,0,0,1,0,1,
,SP/Professional Communication,1,0,0,0,1,0,0,
,SP/Professional Ethics,2,1,2,0.5,0,0,1,
,"SP/Security Policies, Laws and Computer Crimes",0,0,0,0,1,1,1,
,SP/Social Context,1,0.5,2,0,0,0,1,
,SP/Sustainability,1,0,1,0,1,0,0,
